data_type;strategy;AUC_mean;AUC_ci_low;AUC_ci_high;Accuracy_mean;Accuracy_ci_low;Accuracy_ci_high;Recall_mean;Recall_ci_low;Recall_ci_high;Precision_mean;Precision_ci_low;Precision_ci_high;Brier_mean;Brier_ci_low;Brier_ci_high
original;CCA;0.822;0.8146108817571109;0.829389118242889;0.728;0.7234528503120683;0.7325471496879317;0.778;0.7592430075372818;0.7967569924627182;0.136;0.132873834589547;0.13912616541045303;0.178;0.17544222830053843;0.18055777169946155
original;MI;0.823;0.8156108817571109;0.830389118242889;0.688;0.6831686534565725;0.6928313465434274;0.813;0.7959481886702562;0.8300518113297437;0.124;0.12144222830053843;0.12655777169946156;0.202;0.19944222830053845;0.20455777169946157
original;IND;0.821;0.8136108817571109;0.828389118242889;0.709;0.7041686534565725;0.7138313465434274;0.797;0.779095598103769;0.814904401896231;0.13;0.12744222830053845;0.13255777169946156;0.187;0.18444222830053844;0.18955777169946156
