missingness;data_type;strategy;AUC_mean;AUC_ci_low;AUC_ci_high;Accuracy_mean;Accuracy_ci_low;Accuracy_ci_high;Recall_mean;Recall_ci_low;Recall_ci_high;Precision_mean;Precision_ci_low;Precision_ci_high;Brier_mean;Brier_ci_low;Brier_ci_high
MCAR;original;CCA;0.6171735228784351;0.6117093987838405;0.6226376469730297;0.5811750000000001;0.5761591623369114;0.5861908376630888;0.5739740216151296;0.5595913813498674;0.5883566618803917;0.5806249752206566;0.5732734388694851;0.5879765115718281;0.2404466136605361;0.23928458285035717;0.24160864447071503
MCAR;original;MI;0.6205705626776847;0.6151394334111608;0.6260016919442086;0.5824860696517413;0.5776130313728233;0.5873591079306594;0.5646871236337219;0.5513696556354978;0.578004591631946;0.5812452614216673;0.5739916103951457;0.588498912448189;0.2391985023182123;0.23823948446176887;0.24015752017465572
MCAR;original;IND;0.6035569401418632;0.5976706897224946;0.6094431905612319;0.56825;0.5632851781359215;0.5732148218640786;0.5765524382700552;0.5541710835653316;0.5989337929747788;0.567678510354793;0.5603645678843562;0.5749924528252298;0.2433729026615892;0.24268789420174233;0.24405791112143607
MAR;original;CCA;0.6204585901834565;0.6151231937723999;0.6257939865945131;0.5800500000000001;0.5752761786228272;0.5848238213771729;0.5137017910572212;0.491302342231706;0.5361012398827365;0.6004794432703178;0.5913091626068236;0.6096497239338119;0.2419307315298967;0.24065993961922555;0.24320152344056783
MAR;original;MI;0.6208855482647714;0.6154376182261597;0.626333478303383;0.5820019134775374;0.5769985619247253;0.5870052650303494;0.5491367734872991;0.5335101766580518;0.5647633703165463;0.5865337076049922;0.5785373273345914;0.5945300878753931;0.239430637264627;0.2384616813564532;0.24039959317280077
MAR;original;IND;0.6086275789481628;0.6029807302718158;0.6142744276245098;0.5627;0.5573455244329396;0.5680544755670603;0.4465036020677971;0.4145956187410905;0.4784115853945037;0.5981096691902057;0.5863866645651876;0.6098326738152238;0.2442263763138575;0.24342106302423722;0.24503168960347776
MNAR;original;CCA;0.6199989533684924;0.6143004412811637;0.6256974654558212;0.5847749999999999;0.5796663653942717;0.5898836346057281;0.5761881882931806;0.5617978238944797;0.5905785526918815;0.5850530872438308;0.5775793378683319;0.5925268366193296;0.2403181476755399;0.23911907500600157;0.24151722034507825
MNAR;original;MI;0.6212144173306373;0.6158074923948468;0.6266213422664278;0.5814384615384615;0.576486367458809;0.5863905556181139;0.5709342950731181;0.5534454756571906;0.5884231144890456;0.5837091868092769;0.5756875574866169;0.5917308161319368;0.2396713925046594;0.23868269209101795;0.24066009291830087
MNAR;original;IND;0.5975271695284781;0.5914170784953123;0.6036372605616438;0.557475;0.552129126883924;0.5628208731160761;0.4010901901153126;0.37506228184441853;0.4271180983862067;0.5909600740175559;0.5796858479872934;0.6022343000478184;0.2447797325217318;0.24407202399709307;0.24548744104637052
